Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
9000,9000.0,0.158,36,debt_consolidation,22.65%,OH,MORTGAGE,3250.0,665-669,9.0,16480.0,0.0,3 years
15000,15000.0,0.0991,36,debt_consolidation,9.16%,AK,MORTGAGE,4250.0,730-734,11.0,11615.0,1.0,10+ years
5300,5300.0,0.079,36,medical,12.82%,CA,RENT,5500.0,725-729,8.0,9996.0,2.0,1 year
7000,7000.0,0.1311,36,debt_consolidation,16.76%,NJ,RENT,3650.0,685-689,12.0,6444.0,1.0,5 years
15000,14993.57,0.1825,60,debt_consolidation,13.65%,CA,RENT,2916.67,705-709,4.0,12786.0,0.0,< 1 year
8000,8000.0,0.1409,36,home_improvement,12.06%,HI,RENT,5000.0,695-699,10.0,15360.0,1.0,6 years
24000,23947.48,0.1903,60,debt_consolidation,3.63%,CA,RENT,7500.0,695-699,6.0,8568.0,1.0,10+ years
7500,7500.0,0.089,36,debt_consolidation,10.02%,DE,RENT,5500.0,715-719,9.0,2382.0,0.0,6 years
17000,16875.0,0.1183,36,debt_consolidation,12.70%,GA,RENT,4583.33,735-739,5.0,3644.0,1.0,6 years
12000,12000.0,0.1727,36,credit_card,14.86%,NJ,OWN,4583.33,665-669,12.0,9145.0,1.0,10+ years
6000,6000.0,0.1531,36,other,15.91%,MN,RENT,3833.33,670-674,11.0,5760.0,1.0,10+ years
4500,4500.0,0.0676,36,debt_consolidation,14.74%,WV,MORTGAGE,2666.67,790-794,7.0,2705.0,0.0,7 years
1600,1600.0,0.1083,36,other,5.36%,RI,RENT,2427.0,700-704,5.0,7020.0,0.0,3 years
10000,10000.0,0.1777,36,wedding,30.40%,NY,OWN,2500.0,665-669,5.0,8379.0,0.0,8 years
18550,18525.0,0.079,36,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10.0,28877.0,0.0,3 years
7450,7450.0,0.1306,36,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2.0,6416.0,1.0,10+ years
12000,12000.0,0.1212,36,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16.0,18838.0,0.0,10+ years
25000,25000.0,0.1649,36,debt_consolidation,18.18%,MA,RENT,6000.0,695-699,9.0,10630.0,2.0,7 years
4200,4175.0,0.089,36,car,10.16%,NC,MORTGAGE,3041.67,810-814,4.0,1548.0,0.0,10+ years
10000,10000.0,0.1409,36,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11.0,8548.0,0.0,6 years
6000,6000.0,0.0751,36,home_improvement,2.52%,NJ,MORTGAGE,4800.0,750-754,4.0,1442.0,0.0,10+ years
6000,6000.0,0.1311,36,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7.0,12503.0,2.0,2 years
7925,7925.0,0.1629,36,debt_consolidation,21.25%,GA,RENT,2000.0,665-669,6.0,7840.0,0.0,6 years
16000,15925.0,0.0762,36,debt_consolidation,6.48%,IL,MORTGAGE,6000.0,765-769,8.0,19539.0,0.0,n/a
9525,9500.0,0.1581,36,small_business,11.35%,CA,RENT,2666.67,670-674,15.0,5610.0,1.0,n/a
7000,7000.0,0.0662,36,major_purchase,8.03%,NM,MORTGAGE,10000.0,750-754,9.0,6761.0,1.0,6 years
10375,10375.0,0.1972,36,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9.0,6122.0,1.0,5 years
4800,4800.0,0.1875,36,other,10.89%,NM,MORTGAGE,5833.33,670-674,8.0,17943.0,0.0,10+ years
6400,6400.0,0.1311,36,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7.0,8942.0,1.0,10+ years
5000,5000.0,0.079,36,debt_consolidation,17.22%,CA,OWN,4000.0,705-709,10.0,6023.0,0.0,10+ years
12000,12000.0,0.0662,36,credit_card,21.66%,NC,RENT,5250.0,740-744,11.0,20639.0,0.0,< 1 year
15000,15000.0,0.1065,36,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14.0,338.0,2.0,9 years
8000,8000.0,0.0762,36,other,0%,NC,MORTGAGE,3500.0,765-769,7.0,0.0,1.0,n/a
20000,19975.0,0.1311,36,debt_consolidation,15.09%,NC,RENT,8233.33,710-714,17.0,29756.0,2.0,< 1 year
18825,18825.0,0.1409,36,credit_card,13.08%,MI,RENT,4000.0,710-714,6.0,20694.0,1.0,4 years
9000,9000.0,0.0603,36,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11.0,675.0,0.0,n/a
4000,4000.0,0.0617,36,home_improvement,15%,CT,RENT,4234.0,745-749,5.0,587.0,1.0,2 years
5750,5750.0,0.1399,36,credit_card,12.44%,CA,RENT,5000.0,660-664,13.0,12465.0,0.0,10+ years
8000,8000.0,0.1099,36,credit_card,14.76%,NY,RENT,7500.0,710-714,9.0,7120.0,2.0,< 1 year
10000,10000.0,0.1016,36,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8.0,8940.0,2.0,n/a
10000,10000.0,0.1409,36,small_business,14.76%,NY,RENT,5000.0,675-679,7.0,4762.0,0.0,4 years
14000,14000.0,0.0603,36,credit_card,19.53%,CT,MORTGAGE,6000.0,765-769,13.0,4140.0,0.0,8 years
5000,5000.0,0.0766,36,credit_card,3.33%,RI,RENT,9000.0,735-739,3.0,12297.0,0.0,10+ years
25000,25000.0,0.1905,60,debt_consolidation,10.53%,IL,MORTGAGE,6250.0,700-704,8.0,15159.0,1.0,9 years
7200,7175.0,0.1114,36,debt_consolidation,27.89%,OK,MORTGAGE,3750.0,690-694,8.0,20342.0,0.0,10+ years
14000,14000.0,0.0849,60,debt_consolidation,9.89%,CA,MORTGAGE,9000.0,760-764,17.0,23773.0,0.0,4 years
15000,14975.0,0.1521,36,debt_consolidation,19.10%,TX,RENT,5132.0,680-684,4.0,34044.0,1.0,3 years
10800,10800.0,0.1465,36,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6.0,6487.0,1.0,< 1 year
20000,20000.0,0.1433,36,credit_card,21.44%,GA,MORTGAGE,6250.0,700-704,9.0,14268.0,1.0,9 years
4000,4000.0,0.1074,36,debt_consolidation,1.97%,KS,RENT,2900.0,695-699,13.0,1869.0,1.0,n/a
1400,1400.0,0.0976,36,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6.0,6466.0,0.0,2 years
7500,7500.0,0.1632,36,debt_consolidation,12.54%,CA,MORTGAGE,4600.0,665-669,3.0,6120.0,0.0,2 years
24625,917.28,0.1407,36,credit_card,12.81%,NY,MORTGAGE,10000.0,675-679,14.0,33698.0,0.0,8 years
5000,5000.0,0.1409,36,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11.0,3977.0,1.0,< 1 year
25000,24975.0,0.0991,36,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14.0,27203.0,0.0,1 year
7500,7500.0,0.164,36,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8.0,7430.0,0.0,< 1 year
3200,3200.0,0.0988,36,debt_consolidation,6.51%,MA,RENT,4500.0,740-744,7.0,3198.0,0.0,5 years
5500,5500.0,0.1599,60,debt_consolidation,17.95%,RI,RENT,4250.0,700-704,16.0,13256.0,0.0,10+ years
3000,3000.0,0.0976,36,debt_consolidation,21.82%,VA,OWN,1100.0,720-724,4.0,2413.0,0.0,n/a
18000,18000.0,0.2328,60,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6.0,13106.0,0.0,10+ years
10000,9700.0,0.0963,36,debt_consolidation,13.77%,OK,MORTGAGE,4190.0,735-739,6.0,1251.0,1.0,< 1 year
8800,8800.0,0.1311,36,credit_card,16.73%,WI,RENT,3150.25,700-704,13.0,14266.0,1.0,4 years
7000,7000.0,0.1114,36,debt_consolidation,23.02%,TX,MORTGAGE,6000.0,705-709,17.0,19634.0,2.0,6 years
8000,8000.0,0.1311,36,debt_consolidation,19.01%,AK,RENT,2625.0,725-729,8.0,7554.0,1.0,5 years
3000,3000.0,0.1727,36,credit_card,16.62%,SC,RENT,3833.33,660-664,4.0,4136.0,0.0,n/a
3600,3575.0,0.1411,36,small_business,0.04%,WI,RENT,2500.0,725-729,4.0,1.0,0.0,3 years
11625,11625.0,0.1433,36,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6.0,27411.0,2.0,8 years
16000,16000.0,0.089,36,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11.0,6185.0,1.0,4 years
10800,10700.0,0.1075,36,major_purchase,15.32%,FL,MORTGAGE,8400.0,715-719,6.0,24675.0,0.0,10+ years
12375,275.0,0.1091,36,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11.0,8332.0,2.0,3 years
15000,15000.0,0.1825,36,credit_card,9.73%,GA,MORTGAGE,5000.0,660-664,11.0,14596.0,0.0,8 years
8400,8400.0,0.0692,36,renewable_energy,13.30%,MD,RENT,3000.0,745-749,9.0,6998.0,1.0,1 year
15000,15000.0,0.079,36,debt_consolidation,18.62%,PA,MORTGAGE,4500.0,740-744,10.0,17212.0,0.0,7 years
15000,14925.0,0.1433,36,debt_consolidation,13.30%,TX,RENT,5000.0,665-669,7.0,11368.0,1.0,< 1 year
2800,2800.0,0.1016,36,major_purchase,12%,NY,RENT,2083.33,695-699,7.0,7261.0,0.0,< 1 year
4500,4500.0,0.089,36,credit_card,18.18%,UT,RENT,2166.67,700-704,8.0,5361.0,0.0,4 years
17500,17375.0,0.1253,36,debt_consolidation,21.63%,CO,RENT,3666.67,715-719,7.0,20010.0,0.0,6 years
18000,18000.0,0.1531,60,debt_consolidation,4.93%,CA,RENT,5258.5,710-714,6.0,11596.0,0.0,10+ years
15000,14975.0,0.1527,60,debt_consolidation,17.90%,PA,MORTGAGE,2748.0,720-724,14.0,7956.0,1.0,6 years
6000,6000.0,0.1523,36,credit_card,19.57%,KS,OWN,4583.33,665-669,13.0,8077.0,1.0,1 year
11500,11475.0,0.1114,36,credit_card,28.25%,CA,RENT,2750.0,700-704,6.0,9079.0,0.0,5 years
10000,10000.0,0.1311,36,credit_card,7.56%,PA,RENT,2500.0,685-689,8.0,10906.0,0.0,7 years
12000,12000.0,0.089,36,credit_card,12.46%,MD,RENT,5000.0,725-729,5.0,13940.0,0.0,10+ years
10000,10000.0,0.1212,36,debt_consolidation,18.40%,CA,MORTGAGE,5000.0,685-689,7.0,13202.0,0.0,10+ years
7200,7100.0,0.1038,60,major_purchase,17.97%,PA,RENT,3000.0,750-754,7.0,2753.0,1.0,2 years
4000,3975.0,0.079,60,car,4.48%,TX,OWN,4000.0,800-804,16.0,6696.0,0.0,< 1 year
1200,1200.0,0.0762,36,other,8.69%,NY,MORTGAGE,3833.33,730-734,14.0,350.0,1.0,7 years
2500,2500.0,0.1114,36,major_purchase,10.08%,CA,RENT,4333.33,720-724,4.0,4922.0,0.0,3 years
16000,16000.0,0.079,36,credit_card,12.30%,CA,MORTGAGE,8416.67,695-699,14.0,21913.0,1.0,5 years
10000,9950.0,0.1269,36,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,695-699,8.0,7967.0,1.0,3 years
5000,5000.0,0.1016,36,debt_consolidation,24.50%,AL,MORTGAGE,6250.0,700-704,9.0,33705.0,0.0,6 years
4375,4375.0,0.1905,36,credit_card,9.09%,CA,RENT,2916.67,670-674,9.0,6944.0,2.0,6 years
8500,8475.0,0.0603,36,home_improvement,12.33%,MO,MORTGAGE,6100.0,745-749,17.0,6370.0,0.0,10+ years
12000,12000.0,0.1689,60,small_business,15.24%,OH,MORTGAGE,7500.0,675-679,14.0,28589.0,2.0,3 years
6200,6100.0,0.0859,36,other,19.10%,WI,RENT,5000.0,740-744,17.0,9367.0,0.0,1 year
7000,7000.0,0.1849,36,debt_consolidation,18.90%,AR,MORTGAGE,2000.0,660-664,10.0,7315.0,2.0,1 year
20800,20800.0,0.1269,60,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,730-734,9.0,13197.0,0.0,1 year
22000,22000.0,0.158,60,debt_consolidation,21.32%,KY,MORTGAGE,5416.67,700-704,9.0,10267.0,1.0,10+ years
15000,15000.0,0.1905,36,debt_consolidation,24.88%,AZ,RENT,6000.0,675-679,12.0,12162.0,0.0,1 year
7000,6965.1,0.1947,36,debt_consolidation,17.08%,NJ,RENT,5000.0,665-669,11.0,13859.0,0.0,3 years
20000,20000.0,0.089,36,credit_card,17.08%,CO,RENT,4916.67,730-734,10.0,14952.0,2.0,4 years
2000,2000.0,0.0617,36,moving,18.35%,WA,RENT,5733.58,745-749,9.0,21998.0,0.0,3 years
18000,17738.58,0.1059,60,major_purchase,15.03%,OH,MORTGAGE,4000.0,755-759,9.0,6718.0,0.0,10+ years
9000,8875.0,0.0788,36,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,725-729,9.0,12217.0,0.0,7 years
12000,11975.0,0.1483,60,credit_card,22.31%,CA,RENT,4186.0,685-689,9.0,9398.0,0.0,3 years
7000,1998.0,0.08,36,credit_card,6.36%,AZ,MORTGAGE,7583.33,750-754,9.0,21135.0,0.0,10+ years
12000,11975.0,0.0894,36,credit_card,18.99%,TX,RENT,4750.0,750-754,13.0,25577.0,1.0,4 years
16350,16350.0,0.079,36,credit_card,25.03%,MN,OWN,4541.67,730-734,7.0,25731.0,0.0,9 years
20000,20000.0,0.079,36,debt_consolidation,20.04%,TX,MORTGAGE,4625.0,755-759,14.0,31335.0,1.0,10+ years
12300,12300.0,0.1212,36,debt_consolidation,10.01%,CA,RENT,6583.33,690-694,15.0,12450.0,0.0,1 year
4800,4800.0,0.1311,36,moving,4.61%,TX,RENT,2666.67,690-694,3.0,7911.0,0.0,< 1 year
14500,14500.0,0.079,36,credit_card,11.96%,IL,RENT,4500.0,735-739,8.0,16398.0,0.0,6 years
4200,4200.0,0.089,36,debt_consolidation,10.43%,CA,MORTGAGE,2254.0,700-704,7.0,4490.0,0.0,n/a
8325,8325.0,0.1777,36,debt_consolidation,20.75%,MO,RENT,2000.0,665-669,7.0,7676.0,0.0,< 1 year
14000,14000.0,0.1311,36,debt_consolidation,8.12%,CA,OWN,10416.67,730-734,4.0,4776.0,0.0,7 years
9000,9000.0,0.1016,36,debt_consolidation,3.98%,MD,MORTGAGE,6000.0,705-709,6.0,5659.0,0.0,7 years
16000,16000.0,0.1311,36,credit_card,17.61%,GA,MORTGAGE,6083.33,680-684,13.0,15148.0,0.0,2 years
24000,24000.0,0.1065,36,debt_consolidation,14.80%,CA,RENT,3750.0,725-729,5.0,24708.0,0.0,10+ years
7500,7500.0,0.1212,36,home_improvement,26.56%,NH,MORTGAGE,5000.0,710-714,8.0,9047.0,1.0,10+ years
4750,4750.0,0.2247,36,debt_consolidation,24.45%,UT,RENT,1333.33,665-669,9.0,4752.0,2.0,< 1 year
6500,6500.0,0.079,36,debt_consolidation,12.56%,AR,RENT,6750.0,720-724,17.0,33229.0,0.0,8 years
9600,9600.0,0.0603,36,home_improvement,7.52%,AL,MORTGAGE,6250.0,750-754,7.0,765.0,0.0,< 1 year
2000,2000.0,0.0751,36,other,16.73%,CA,RENT,1500.0,730-734,5.0,2925.0,0.0,4 years
5825,5825.0,0.1212,36,home_improvement,4%,AR,OWN,3750.0,690-694,4.0,5643.0,0.0,1 year
7200,7200.0,0.1991,60,other,2%,NY,RENT,5500.0,660-664,13.0,2130.0,0.0,9 years
8000,8000.0,0.1433,36,other,11.85%,MD,RENT,3941.58,670-674,15.0,9660.0,0.0,2 years
25000,24675.0,0.2077,60,home_improvement,19.12%,TX,MORTGAGE,6000.0,665-669,17.0,12757.0,2.0,10+ years
2500,2500.0,0.1409,36,medical,20.95%,NY,RENT,2666.67,665-669,9.0,15787.0,0.0,n/a
12375,12375.0,0.1367,36,debt_consolidation,22.42%,KS,MORTGAGE,2083.33,680-684,8.0,12226.0,0.0,3 years
18000,18000.0,0.1016,36,debt_consolidation,16.71%,NY,MORTGAGE,6666.67,685-689,16.0,19850.0,1.0,6 years
3300,3300.0,0.0699,36,other,20.04%,IL,RENT,3333.33,760-764,10.0,0.0,2.0,1 year
21000,21000.0,0.1849,60,other,16.40%,TX,MORTGAGE,8833.33,700-704,11.0,29293.0,0.0,1 year
24575,24575.0,0.1629,36,debt_consolidation,19.60%,GA,MORTGAGE,5250.0,695-699,8.0,20858.0,2.0,10+ years
5000,4900.0,0.0774,36,other,14.40%,OH,RENT,5166.67,750-754,8.0,15489.0,1.0,10+ years
20000,20000.0,0.1629,36,debt_consolidation,23.59%,MI,MORTGAGE,5833.33,680-684,14.0,12696.0,1.0,< 1 year
20000,19950.0,0.1075,36,debt_consolidation,11.37%,NY,RENT,8416.67,740-744,10.0,12283.0,0.0,3 years
10000,10000.0,0.0849,36,debt_consolidation,13.58%,FL,MORTGAGE,4166.67,715-719,8.0,8455.0,0.0,10+ years
12000,12000.0,0.1212,36,debt_consolidation,14.66%,FL,MORTGAGE,5000.0,710-714,11.0,13235.0,2.0,2 years
8000,7950.0,0.079,36,home_improvement,12.54%,IL,MORTGAGE,3500.0,725-729,8.0,6834.0,2.0,5 years
12500,12425.0,0.0749,36,debt_consolidation,14.07%,MD,RENT,8237.5,730-734,15.0,13261.0,0.0,6 years
4825,4825.0,0.1016,36,debt_consolidation,14.89%,UT,RENT,2400.0,705-709,14.0,6109.0,1.0,1 year
7550,7550.0,0.1689,36,other,21.94%,AL,RENT,2880.0,670-674,2.0,1989.0,1.0,8 years
8000,7827.03,0.1435,36,other,20.35%,NY,RENT,4000.0,675-679,7.0,2082.0,0.0,4 years
6000,6000.0,0.1409,36,debt_consolidation,15.72%,KS,RENT,5083.33,670-674,11.0,10373.0,0.0,4 years
3000,3000.0,0.1459,36,debt_consolidation,24.20%,IL,MORTGAGE,5000.0,665-669,6.0,5527.0,1.0,5 years
8000,7997.79,0.1629,36,debt_consolidation,15.76%,NY,RENT,3750.0,665-669,8.0,7374.0,1.0,6 years
8400,8400.0,0.0599,36,credit_card,8.70%,TX,OWN,3000.0,750-754,6.0,6215.0,0.0,2 years
15000,15000.0,0.079,36,credit_card,21.54%,NY,OWN,5000.0,730-734,8.0,21555.0,0.0,2 years
24000,23665.54,0.0962,60,debt_consolidation,17.41%,DC,RENT,7695.08,805-809,6.0,1502.0,0.0,9 years
21000,20975.0,0.205,60,debt_consolidation,18.42%,NY,MORTGAGE,8083.33,680-684,11.0,31080.0,2.0,5 years
6000,6000.0,0.0762,36,debt_consolidation,9.33%,CA,RENT,8315.67,730-734,8.0,6239.0,0.0,2 years
20000,20000.0,0.1531,36,debt_consolidation,27.35%,CA,RENT,5250.0,690-694,11.0,11343.0,1.0,6 years
7000,7000.0,0.1016,36,debt_consolidation,10.76%,IL,MORTGAGE,4341.67,695-699,11.0,13638.0,0.0,7 years
5000,4950.0,0.1036,36,other,0.51%,NJ,RENT,2916.67,715-719,2.0,165.0,2.0,3 years
6000,6000.0,0.1727,36,debt_consolidation,6.91%,IL,MORTGAGE,4025.67,665-669,6.0,6652.0,2.0,5 years
10000,10000.0,0.1527,36,wedding,4.02%,IL,RENT,4480.0,670-674,9.0,7614.0,2.0,1 year
3200,3200.0,0.1749,36,other,1.37%,AR,RENT,2917.0,665-669,4.0,1427.0,1.0,< 1 year
23000,23000.0,0.1777,36,debt_consolidation,25.84%,MD,MORTGAGE,6625.0,685-689,17.0,19870.0,1.0,3 years
3000,3000.0,0.1269,36,debt_consolidation,3.12%,CA,RENT,2083.33,715-719,3.0,844.0,0.0,3 years
12000,11975.0,0.1074,60,debt_consolidation,17.63%,VA,RENT,3500.0,715-719,11.0,18808.0,0.0,5 years
20000,19975.0,0.1399,60,debt_consolidation,31.20%,NY,RENT,4166.67,720-724,9.0,8810.0,0.0,6 years
1200,1200.0,0.158,36,debt_consolidation,27.14%,MI,RENT,2166.67,665-669,9.0,9076.0,1.0,3 years
8000,8000.0,0.0662,36,credit_card,4.90%,FL,MORTGAGE,3000.0,780-784,5.0,6084.0,1.0,n/a
11000,11000.0,0.1306,36,other,22.42%,NC,MORTGAGE,7916.67,690-694,9.0,34314.0,1.0,< 1 year
18000,18000.0,0.1629,36,credit_card,17.62%,CA,MORTGAGE,5250.0,670-674,11.0,9379.0,1.0,5 years
24000,23975.0,0.1749,60,small_business,8.96%,OR,RENT,5000.0,705-709,4.0,323.0,1.0,10+ years
8000,7925.0,0.1875,60,other,9.92%,WA,MORTGAGE,5002.33,675-679,7.0,8421.0,1.0,10+ years
1000,750.0,0.1036,36,renewable_energy,0%,GA,MORTGAGE,1800.0,730-734,2.0,0.0,1.0,< 1 year
6000,6000.0,0.158,36,medical,7.94%,NY,RENT,5000.0,670-674,7.0,14784.0,1.0,10+ years
4000,4000.0,0.0603,36,car,13.03%,CA,RENT,2916.67,750-754,7.0,2860.0,0.0,5 years
20000,20000.0,0.1171,60,debt_consolidation,10.98%,IL,MORTGAGE,5416.67,745-749,10.0,20836.0,0.0,10+ years
24000,24000.0,0.1999,60,debt_consolidation,3.48%,AZ,RENT,8333.33,690-694,8.0,8224.0,1.0,5 years
8000,8000.0,0.1409,36,debt_consolidation,14.31%,CA,RENT,3500.0,690-694,7.0,5074.0,2.0,4 years
12000,12000.0,0.0662,36,credit_card,13.88%,MA,MORTGAGE,7125.0,775-779,15.0,20639.0,1.0,5 years
17600,17600.0,0.089,36,debt_consolidation,16.58%,CO,MORTGAGE,4166.67,750-754,8.0,235.0,1.0,8 years
5000,512.46,0.1292,36,debt_consolidation,16.29%,CA,RENT,3333.0,665-669,11.0,14244.0,2.0,2 years
8000,8000.0,0.1867,60,educational,5.56%,CA,RENT,2500.0,660-664,5.0,5770.0,2.0,6 years
10000,9850.0,0.0988,36,debt_consolidation,17.04%,KY,MORTGAGE,4500.0,730-734,8.0,6948.0,2.0,4 years
